,movie,year,imdb,metascore,votes,n_imdb
0,Gladiator,2000,8.5,67,1178674,85.0
1,Memento,2000,8.5,80,1008322,85.0
2,Snatch,2000,8.3,55,703258,83.0
3,Requiem for a Dream,2000,8.3,68,683913,83.0
4,X-Men,2000,7.4,64,523474,74.0
5,Cast Away,2000,7.8,73,461953,78.0
6,American Psycho,2000,7.6,64,419841,76.0
7,Unbreakable,2000,7.3,62,314560,73.0
8,Meet the Parents,2000,7.0,73,288909,70.0
9,Mission: Impossible II,2000,6.1,59,284517,61.0
10,"O Brother, Where Art Thou?",2000,7.8,69,259358,78.0
11,Gone in Sixty Seconds,2000,6.5,35,241977,65.0
12,"Crouching Tiger, Hidden Dragon",2000,7.9,93,236727,79.0
13,The Patriot,2000,7.2,63,233202,72.0
14,Almost Famous,2000,7.9,90,231474,79.0
15,Pitch Black,2000,7.1,49,211528,71.0
16,Scary Movie,2000,6.2,48,211046,62.0
17,"Me, Myself & Irene",2000,6.6,49,206612,66.0
18,Final Destination,2000,6.7,36,206351,67.0
19,The Beach,2000,6.6,43,204047,66.0
20,Amores Perros,2000,8.1,83,203482,81.0
21,Traffic,2000,7.6,86,184105,76.0
22,Remember the Titans,2000,7.8,48,181160,78.0
23,How the Grinch Stole Christmas,2000,6.1,46,179530,61.0
24,What Women Want,2000,6.4,47,177451,64.0
25,Chocolat,2000,7.3,64,166083,73.0
26,Miss Congeniality,2000,6.2,43,164410,62.0
27,Charlie's Angels,2000,5.5,52,160466,55.0
28,Chicken Run,2000,7.0,88,160402,70.0
29,Battle Royale,2000,7.7,81,156967,77.0
30,High Fidelity,2000,7.5,79,156530,75.0
31,The Emperor's New Groove,2000,7.3,70,155639,73.0
32,Erin Brockovich,2000,7.3,73,155232,73.0
33,Road Trip,2000,6.5,55,146448,65.0
34,The Perfect Storm,2000,6.4,59,144997,64.0
35,"Dude, Where's My Car?",2000,5.5,30,127118,55.0
36,Hollow Man,2000,5.7,24,113115,57.0
37,Scream 3,2000,5.6,56,112234,56.0
38,Billy Elliot,2000,7.7,74,111901,77.0
39,Shanghai Noon,2000,6.6,77,109752,66.0
40,The 6th Day,2000,5.9,49,109048,59.0
41,What Lies Beneath,2000,6.6,51,108635,66.0
42,Pay It Forward,2000,7.2,40,105968,72.0
43,In the Mood for Love,2000,8.1,85,102052,81.0
44,The Whole Nine Yards,2000,6.7,47,100807,67.0
45,Coyote Ugly,2000,5.7,27,99478,57.0
46,Men of Honor,2000,7.2,56,99449,72.0
47,The Family Man,2000,6.7,42,95947,67.0
48,Frequency,2000,7.4,67,92977,74.0
49,Gladiator,2000,8.5,67,1178674,85.0
50,Memento,2000,8.5,80,1008322,85.0
51,Snatch,2000,8.3,55,703258,83.0
52,Requiem for a Dream,2000,8.3,68,683913,83.0
53,X-Men,2000,7.4,64,523474,74.0
54,Cast Away,2000,7.8,73,461953,78.0
55,American Psycho,2000,7.6,64,419841,76.0
56,Unbreakable,2000,7.3,62,314560,73.0
57,Meet the Parents,2000,7.0,73,288909,70.0
58,Mission: Impossible II,2000,6.1,59,284517,61.0
59,"O Brother, Where Art Thou?",2000,7.8,69,259358,78.0
60,Gone in Sixty Seconds,2000,6.5,35,241977,65.0
61,"Crouching Tiger, Hidden Dragon",2000,7.9,93,236727,79.0
62,The Patriot,2000,7.2,63,233202,72.0
63,Almost Famous,2000,7.9,90,231474,79.0
64,Pitch Black,2000,7.1,49,211528,71.0
65,Scary Movie,2000,6.2,48,211046,62.0
66,"Me, Myself & Irene",2000,6.6,49,206612,66.0
67,Final Destination,2000,6.7,36,206351,67.0
68,The Beach,2000,6.6,43,204047,66.0
69,Amores Perros,2000,8.1,83,203482,81.0
70,Traffic,2000,7.6,86,184105,76.0
71,Remember the Titans,2000,7.8,48,181160,78.0
72,How the Grinch Stole Christmas,2000,6.1,46,179530,61.0
73,What Women Want,2000,6.4,47,177451,64.0
74,Chocolat,2000,7.3,64,166083,73.0
75,Miss Congeniality,2000,6.2,43,164410,62.0
76,Charlie's Angels,2000,5.5,52,160466,55.0
77,Chicken Run,2000,7.0,88,160402,70.0
78,Battle Royale,2000,7.7,81,156967,77.0
79,High Fidelity,2000,7.5,79,156530,75.0
80,The Emperor's New Groove,2000,7.3,70,155639,73.0
81,Erin Brockovich,2000,7.3,73,155232,73.0
82,Road Trip,2000,6.5,55,146448,65.0
83,The Perfect Storm,2000,6.4,59,144997,64.0
84,"Dude, Where's My Car?",2000,5.5,30,127118,55.0
85,Hollow Man,2000,5.7,24,113115,57.0
86,Scream 3,2000,5.6,56,112234,56.0
87,Billy Elliot,2000,7.7,74,111901,77.0
88,Shanghai Noon,2000,6.6,77,109752,66.0
89,The 6th Day,2000,5.9,49,109048,59.0
90,What Lies Beneath,2000,6.6,51,108635,66.0
91,Pay It Forward,2000,7.2,40,105968,72.0
92,In the Mood for Love,2000,8.1,85,102052,81.0
93,The Whole Nine Yards,2000,6.7,47,100807,67.0
94,Coyote Ugly,2000,5.7,27,99478,57.0
95,Men of Honor,2000,7.2,56,99449,72.0
96,The Family Man,2000,6.7,42,95947,67.0
